relativePath,questionSet,statusFolder,invariantId,levenshteinDistance,rawAstDistance,canonicalDistance,levenshteinSize,rawAstSize,canonicalSize,levenshteinDistanceRatio,rawAstDistanceRatio,canonicalDistanceRatio,candidateReward,rewardError,rewardPoolSize,rewardErrorMessage
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12",26,26,11,91,34,17,0.285714,0.764706,0.647059,0.000000,1.000000,100,
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9",4,1,2,87,30,19,0.045977,0.033333,0.105263,0.000000,1.000000,100,
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14",51,22,15,96,30,20,0.531250,0.733333,0.750000,0.450000,0.550000,100,
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14",44,16,24,128,50,31,0.343750,0.320000,0.774194,0.341000,0.659000,100,
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11",54,49,16,145,47,27,0.372414,1.042553,0.592593,0.000000,1.000000,100,
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14",27,8,3,137,46,23,0.197080,0.173913,0.130435,0.120000,0.880000,100,
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5",9,1,2,42,17,9,0.214286,0.058824,0.222222,0.346500,0.653500,100,
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9",31,12,11,67,23,15,0.462687,0.521739,0.733333,0.475200,0.524800,100,
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14",18,38,13,112,46,23,0.160714,0.826087,0.565217,0.774400,0.225600,100,
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12",33,28,12,107,36,18,0.308411,0.777778,0.666667,0.000000,1.000000,100,
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11",41,22,11,77,31,16,0.532468,0.709677,0.687500,0.060800,0.939200,100,
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11",43,26,15,88,36,19,0.488636,0.722222,0.789474,0.010000,0.990000,100,
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15",89,58,37,183,64,41,0.486339,0.906250,0.902439,0.010000,0.990000,100,
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11",38,13,10,98,36,18,0.387755,0.361111,0.555556,0.630000,0.370000,100,
