workers,stage,samples,averageDurationNanos,totalDurationNanos,averageHeapDeltaBytes,totalPositiveHeapDeltaBytes,maxHeapDeltaBytes,averageUsedHeapBytes,maxUsedHeapBytes,averageActiveWorkers,averageRawAstNodes,averageMasgVertices,averageMasgEdges,averageNormalForms,averageQuantifiers,averageTemporalNodes,averageNormalizedNodes,averageProxyBytes
1,"canonical-metadata","3774","3423.312","12919581","3056.263","11534336","1048576","168255169.151","313819384","1.000","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
1,"canonical-prepared","1887","0.000","0","0.000","0","0","168306584.979","313819384","0.000","0.000","0.000","0.000","2.200","2.849","2.184","23.882","4910.618"
1,"distance","1887","17608.445","33227136","3889.789","7340032","1048576","168310474.768","313819384","1.000","0.000","0.000","0.000","2.200","2.849","2.184","23.882","5045.346"
1,"masg","1887","81624.721","154025849","69441.730","131036544","1048576","168153053.596","314198392","1.000","0.000","24.753","39.292","0.000","0.000","0.000","0.000","5764.714"
1,"normalize-aci","4152","4518.966","18762746","14647.738","60817408","1048576","168276453.767","313819384","1.000","0.000","0.000","0.000","1.276","1.355","1.276","12.175","1678.559"
1,"normalize-alpha-beta-branch","4152","11869.945","49284012","56270.008","233633072","1048576","168227936.129","313819384","1.000","0.000","0.000","0.000","1.276","0.104","1.276","17.542","2139.615"
1,"normalize-nnf","4152","4467.888","18550673","23212.973","96380264","1048576","168251906.744","313819384","1.000","0.000","0.000","0.000","1.276","0.104","1.276","17.261","2108.135"
1,"normalize-post-prenex-nnf","4152","5879.196","24410421","-10296.595","157218184","1048576","168260795.840","313819384","1.000","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
1,"normalize-prenex","4152","10490.282","43555649","18175.503","75464688","1048576","168270334.794","313819384","1.000","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
1,"normalize-reachable-egraph","3774","2031.993","7668741","2500.579","9437184","1048576","168252112.888","313819384","1.000","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
1,"normalize-saturation","4152","12733.488","52869442","14886.580","61809080","1048576","168291340.347","313819384","1.000","0.000","0.000","0.000","1.276","1.355","1.276","12.162","1677.156"
1,"normalize-temporal-negation","4152","437.095","1814819","1010.189","4194304","1048576","168292855.630","313819384","1.000","0.000","0.000","0.000","1.276","1.355","1.276","12.163","1677.264"
1,"normalize-temporal-skeleton","3774","16229.177","61248913","-76685.066","72551608","1048576","168102829.762","313819384","1.000","0.000","0.000","0.000","1.100","0.000","1.100","20.737","2463.351"
1,"raw-ast","2000","1482374.793","2964749586","-162158.616","3213990816","9437184","167763457.284","314198392","1.000","42.683","0.000","0.000","0.000","0.000","0.000","0.000","4097.520"
1,"result-bookkeeping","1887","0.000","0","0.000","0","0","168310474.768","313819384","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","256.000"
8,"canonical-metadata","3774","5454.430","20585017","27225.032","102747272","2097152","239011720.201","580272224","7.877","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
8,"canonical-prepared","1887","0.000","0","0.000","0","0","238884099.989","580272224","6.870","0.000","0.000","0.000","2.200","2.849","2.184","23.882","4910.618"
8,"distance","1887","23380.333","44118688","-74750.342","190743056","2745864","238811651.353","580272224","7.882","0.000","0.000","0.000","2.200","2.849","2.184","23.882","5045.346"
8,"masg","1887","146344.961","276152942","234934.987","1128324952","5242880","239208414.656","579223648","7.856","0.000","24.753","39.292","0.000","0.000","0.000","0.000","5764.714"
8,"normalize-aci","4152","8486.460","35235780","4607.719","252916048","3145728","239368768.233","580272224","7.884","0.000","0.000","0.000","1.276","1.355","1.276","12.175","1678.559"
8,"normalize-alpha-beta-branch","4152","24776.751","102873069","109520.457","932701688","262385568","239284732.794","580272224","7.865","0.000","0.000","0.000","1.276","0.104","1.276","17.542","2139.615"
8,"normalize-nnf","4152","8571.667","35589563","64598.516","268213040","4194304","239354152.227","580272224","7.879","0.000","0.000","0.000","1.276","0.104","1.276","17.261","2108.135"
8,"normalize-post-prenex-nnf","4152","11681.870","48503124","69069.800","286777808","2751632","239358576.491","580272224","7.882","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
8,"normalize-prenex","4152","22549.051","93623659","-116239.865","389001680","3145728","239243144.355","580272224","7.879","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
8,"normalize-reachable-egraph","3774","3850.029","14530008","-41611.330","69437792","1322608","238980139.315","580272224","7.877","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
8,"normalize-saturation","4152","24495.085","101703593","-262451.135","425246056","3145728","239111124.408","580272224","7.881","0.000","0.000","0.000","1.276","1.355","1.276","12.162","1677.156"
8,"normalize-temporal-negation","4152","777.759","3229256","4370.574","18146624","1652112","239162929.031","580272224","7.877","0.000","0.000","0.000","1.276","1.355","1.276","12.163","1677.264"
8,"normalize-temporal-skeleton","3774","35331.010","133339230","-2844.085","589344040","3324280","239188801.266","580272224","7.868","0.000","0.000","0.000","1.100","0.000","1.100","20.737","2463.351"
8,"raw-ast","2000","3568814.429","7137628857","621268.064","27432878912","47330416","239387366.684","578175072","7.878","42.683","0.000","0.000","0.000","0.000","0.000","0.000","4097.520"
8,"result-bookkeeping","1887","0.000","0","0.000","0","0","238815706.514","580272224","6.880","0.000","0.000","0.000","0.000","0.000","0.000","0.000","256.000"
32,"canonical-metadata","3774","10180.465","38421074","-4204.146","132230096","3796248","245314340.833","570697064","31.554","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
32,"canonical-prepared","1887","0.000","0","0.000","0","0","245022838.482","570697064","30.545","0.000","0.000","0.000","2.200","2.849","2.184","23.882","4910.618"
32,"distance","1887","60629.174","114407251","39588.931","356011016","16382344","245073025.539","570697064","31.552","0.000","0.000","0.000","2.200","2.849","2.184","23.882","5045.346"
32,"masg","1887","443475.160","836837627","825895.504","2340568736","34593664","246113950.457","570043560","31.517","0.000","24.753","39.292","0.000","0.000","0.000","0.000","5764.714"
32,"normalize-aci","4152","20729.730","86069840","-168731.890","354014864","44295136","246049891.757","570697064","31.556","0.000","0.000","0.000","1.276","1.355","1.276","12.175","1678.559"
32,"normalize-alpha-beta-branch","4152","74494.816","309302474","-494359.489","1097380688","14680064","245871231.763","570697064","31.532","0.000","0.000","0.000","1.276","0.104","1.276","17.542","2139.615"
32,"normalize-nnf","4152","21024.920","87295468","43707.707","404071376","12582912","245991024.759","570697064","31.528","0.000","0.000","0.000","1.276","0.104","1.276","17.261","2108.135"
32,"normalize-post-prenex-nnf","4152","25994.111","107927550","-21465.249","502019208","17316144","246207767.582","570697064","31.562","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
32,"normalize-prenex","4152","114623.013","475914749","216399.131","1028794200","47271800","246218804.148","570697064","31.548","0.000","0.000","0.000","1.276","1.355","1.276","12.598","1726.008"
32,"normalize-reachable-egraph","3774","6019.598","22717961","29554.556","111538896","6291456","245368002.567","570697064","31.560","0.000","0.000","0.000","1.100","1.424","1.100","11.941","1637.774"
32,"normalize-saturation","4152","58635.219","243453429","-89857.443","784306424","24656848","245967695.981","570697064","31.557","0.000","0.000","0.000","1.276","1.355","1.276","12.162","1677.156"
32,"normalize-temporal-negation","4152","2670.229","11086792","-49328.395","23735128","884736","245929145.021","570697064","31.553","0.000","0.000","0.000","1.276","1.355","1.276","12.163","1677.264"
32,"normalize-temporal-skeleton","3774","101790.930","384158969","187404.524","976252656","15729040","246060777.740","570697064","31.434","0.000","0.000","0.000","1.100","0.000","1.100","20.737","2463.351"
32,"raw-ast","2000","14786070.176","29572140351","5482794.500","85869394296","255288824","245430869.860","568599912","31.376","42.683","0.000","0.000","0.000","0.000","0.000","0.000","4097.520"
32,"result-bookkeeping","1887","0.000","0","0.000","0","0","244956050.968","570697064","30.546","0.000","0.000","0.000","0.000","0.000","0.000","0.000","256.000"
