stage,samples,averageDurationNanos,totalDurationNanos,averageHeapDeltaBytes,totalPositiveHeapDeltaBytes,maxHeapDeltaBytes,averageUsedHeapBytes,maxUsedHeapBytes,averageActiveWorkers,averageRawAstNodes,averageMasgVertices,averageMasgEdges,averageNormalForms,averageQuantifiers,averageTemporalNodes,averageNormalizedNodes,averageProxyBytes
"canonical-metadata",3774,3423.312,12919581,3056.263,11534336,1048576,168255169.151,313819384,1.000,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"canonical-prepared",1887,0.000,0,0.000,0,0,168306584.979,313819384,0.000,0.000,0.000,0.000,2.200,2.849,2.184,23.882,4910.618
"distance",1887,17608.445,33227136,3889.789,7340032,1048576,168310474.768,313819384,1.000,0.000,0.000,0.000,2.200,2.849,2.184,23.882,5045.346
"masg",1887,81624.721,154025849,69441.730,131036544,1048576,168153053.596,314198392,1.000,0.000,24.753,39.292,0.000,0.000,0.000,0.000,5764.714
"normalize-aci",4152,4518.966,18762746,14647.738,60817408,1048576,168276453.767,313819384,1.000,0.000,0.000,0.000,1.276,1.355,1.276,12.175,1678.559
"normalize-alpha-beta-branch",4152,11869.945,49284012,56270.008,233633072,1048576,168227936.129,313819384,1.000,0.000,0.000,0.000,1.276,0.104,1.276,17.542,2139.615
"normalize-nnf",4152,4467.888,18550673,23212.973,96380264,1048576,168251906.744,313819384,1.000,0.000,0.000,0.000,1.276,0.104,1.276,17.261,2108.135
"normalize-post-prenex-nnf",4152,5879.196,24410421,-10296.595,157218184,1048576,168260795.840,313819384,1.000,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-prenex",4152,10490.282,43555649,18175.503,75464688,1048576,168270334.794,313819384,1.000,0.000,0.000,0.000,1.276,1.355,1.276,12.598,1726.008
"normalize-reachable-egraph",3774,2031.993,7668741,2500.579,9437184,1048576,168252112.888,313819384,1.000,0.000,0.000,0.000,1.100,1.424,1.100,11.941,1637.774
"normalize-saturation",4152,12733.488,52869442,14886.580,61809080,1048576,168291340.347,313819384,1.000,0.000,0.000,0.000,1.276,1.355,1.276,12.162,1677.156
"normalize-temporal-negation",4152,437.095,1814819,1010.189,4194304,1048576,168292855.630,313819384,1.000,0.000,0.000,0.000,1.276,1.355,1.276,12.163,1677.264
"normalize-temporal-skeleton",3774,16229.177,61248913,-76685.066,72551608,1048576,168102829.762,313819384,1.000,0.000,0.000,0.000,1.100,0.000,1.100,20.737,2463.351
"raw-ast",2000,1482374.793,2964749586,-162158.616,3213990816,9437184,167763457.284,314198392,1.000,42.683,0.000,0.000,0.000,0.000,0.000,0.000,4097.520
"result-bookkeeping",1887,0.000,0,0.000,0,0,168310474.768,313819384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256.000
