elapsedNanos,usedHeapBytes,activeWorkers,phaseCounts
905799,67263216,0,""
11154804,101866224,32,"raw-ast=32"
21270477,102914800,32,"raw-ast=32"
32080898,105011952,32,"raw-ast=32"
42192101,107109104,32,"raw-ast=32"
52373426,108157680,32,"raw-ast=32"
62570570,112351984,32,"raw-ast=32"
72671724,115497712,32,"raw-ast=32"
82792487,120740592,32,"raw-ast=32"
93063603,135420656,32,"raw-ast=32"
103152476,141712112,6,"raw-ast=6"
113241889,146954992,17,"masg=12;raw-ast=5"
123335403,153246448,19,"masg=17;raw-ast=2"
133454927,162683632,31,"normalize-alpha-beta-branch=20;normalize-nnf=4;normalize-prenex=4;normalize-reachable-egraph=3"
146408727,176315120,32,"distance=3;normalize-aci=2;normalize-alpha-beta-branch=6;normalize-post-prenex-nnf=2;normalize-prenex=14;normalize-temporal-skeleton=2;raw-ast=3"
156728192,184703728,32,"distance=1;normalize-prenex=1;normalize-saturation=3;normalize-temporal-skeleton=6;raw-ast=20"
166869766,193092336,32,"distance=2;normalize-prenex=1;normalize-saturation=1;normalize-temporal-skeleton=3;raw-ast=25"
177391354,45509248,32,"normalize-alpha-beta-branch=1;normalize-post-prenex-nnf=1;normalize-prenex=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=27"
187484217,50204416,32,"normalize-saturation=1;raw-ast=31"
198155036,64364992,30,"masg=4;normalize-temporal-skeleton=3;raw-ast=24"
208258740,81162568,31,"masg=1;normalize-aci=1;normalize-prenex=1;raw-ast=28"
218346213,94253928,32,"masg=5;raw-ast=27"
228443807,117312664,32,"normalize-aci=1;normalize-post-prenex-nnf=1;normalize-saturation=1;raw-ast=29"
242363906,140911504,32,"masg=5;normalize-post-prenex-nnf=1;normalize-prenex=1;raw-ast=25"
252463299,178660240,31,"masg=1;raw-ast=30"
280390158,62366840,32,"masg=1;normalize-temporal-negation=1;raw-ast=30"
296815050,96610960,31,"normalize-alpha-beta-branch=1;normalize-saturation=3;normalize-temporal-skeleton=2;raw-ast=25"
306912714,134738592,32,"normalize-alpha-beta-branch=1;normalize-post-prenex-nnf=1;raw-ast=30"
317005777,156372896,32,"normalize-temporal-skeleton=1;raw-ast=31"
327099781,176314800,31,"masg=2;normalize-post-prenex-nnf=1;normalize-prenex=1;raw-ast=28"
341106421,41947032,32,"normalize-reachable-egraph=1;raw-ast=31"
351195514,60826152,32,"raw-ast=32"
364405337,87509264,32,"normalize-alpha-beta-branch=1;raw-ast=31"
374519080,125891720,30,"normalize-prenex=2;normalize-temporal-skeleton=1;raw-ast=26"
384611624,147784704,31,"masg=2;normalize-aci=1;normalize-prenex=1;normalize-temporal-skeleton=1;raw-ast=27"
394702447,189737184,31,"distance=1;masg=2;normalize-aci=2;normalize-nnf=1;normalize-post-prenex-nnf=1;normalize-prenex=1;normalize-saturation=3;raw-ast=20"
404789161,75984008,32,"masg=2;normalize-alpha-beta-branch=1;raw-ast=29"
414881054,133011928,32,"masg=2;normalize-alpha-beta-branch=1;normalize-post-prenex-nnf=1;raw-ast=28"
424965477,176644920,30,"masg=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=29"
435048251,56725880,32,"raw-ast=32"
445305466,105887240,31,"masg=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=29"
455843064,164401656,31,"canonical-metadata=1;normalize-alpha-beta-branch=1;raw-ast=29"
465937457,230488296,30,"masg=1;normalize-nnf=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=28"
476667887,54525096,31,"raw-ast=31"
486752530,106746496,32,"raw-ast=32"
496843273,166952928,31,"normalize-aci=1;normalize-alpha-beta-branch=1;normalize-saturation=1;raw-ast=29"
507018378,229180912,32,"masg=2;raw-ast=30"
517831508,62795168,32,"normalize-prenex=2;normalize-temporal-negation=1;raw-ast=29"
527927251,124131592,30,"normalize-alpha-beta-branch=1;normalize-prenex=1;raw-ast=30"
538006465,195151648,32,"masg=1;raw-ast=31"
548083368,257857080,32,"normalize-temporal-skeleton=1;raw-ast=31"
558173762,68371112,32,"masg=1;normalize-aci=2;normalize-temporal-skeleton=1;raw-ast=26"
568255555,137540680,32,"raw-ast=32"
578340978,193786760,32,"normalize-post-prenex-nnf=1;raw-ast=31"
588426782,258877672,32,"raw-ast=32"
599037400,69583888,32,"masg=1;normalize-alpha-beta-branch=1;raw-ast=29"
609121944,143224856,32,"raw-ast=32"
619217317,200109712,31,"normalize-saturation=2;raw-ast=30"
629321911,256704704,32,"normalize-saturation=1;raw-ast=31"
639640266,320321784,32,"normalize-aci=1;normalize-alpha-beta-branch=1;raw-ast=30"
649735120,382071096,31,"distance=1;normalize-aci=1;normalize-alpha-beta-branch=1;normalize-temporal-skeleton=1;raw-ast=28"
659830233,445768568,32,"masg=1;raw-ast=31"
669933367,120616208,32,"masg=1;normalize-prenex=1;raw-ast=30"
680041711,192400248,32,"normalize-temporal-skeleton=1;raw-ast=31"
690131274,244867376,32,"masg=2;raw-ast=30"
700224247,305417488,32,"masg=2;normalize-prenex=1;raw-ast=29"
710340601,368332048,32,"raw-ast=32"
720441465,438756608,32,"raw-ast=32"
730548098,116252984,32,"masg=1;raw-ast=31"
740630672,169912704,32,"normalize-aci=1;raw-ast=31"
750707665,233210888,32,"raw-ast=32"
760804619,292891072,31,"normalize-reachable-egraph=1;normalize-saturation=1;raw-ast=30"
770880742,359374312,32,"normalize-nnf=1;raw-ast=31"
780959805,423933624,32,"raw-ast=32"
791074159,98401704,32,"normalize-aci=1;normalize-post-prenex-nnf=1;normalize-saturation=1;normalize-temporal-skeleton=1;raw-ast=28"
801181962,173163328,32,"normalize-prenex=1;raw-ast=30"
811295326,229574376,32,"raw-ast=32"
821389560,295344256,32,"raw-ast=32"
831513334,358395680,32,"raw-ast=32"
841626697,429939416,32,"raw-ast=32"
851745411,112289992,32,"masg=1;normalize-prenex=1;raw-ast=30"
861867425,166454104,32,"normalize-alpha-beta-branch=1;normalize-saturation=2;raw-ast=29"
871994648,232658144,32,"masg=2;normalize-prenex=1;raw-ast=29"
882103202,285923496,32,"raw-ast=32"
892209426,352150280,32,"raw-ast=31"
902327829,426167904,32,"masg=1;raw-ast=31"
