relativePath,success,skipped,retried,distance,rawAstNodes,masgVertices,masgEdges,maxNormalizedNodes,maxNormalizationProxyBytes,normalForms,quantifiers,temporalNodes,canonicalSize,eclasses,enodes,metadataEntries,distanceScratchBytes,largestScratchBufferBytes,scratchArrays,scratchMatrices,error
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als",true,false,false,22,70,34,69,51,5840,2,6,2,41,33,33,33,1552,208,50,3,""
"classroom_fol/both/3SxYJRiH8stfuntkE_inv11.als",true,false,false,15,59,32,57,39,4496,2,5,2,32,25,25,25,1264,176,41,3,""
"classroom_fol/both/4DmBDdJhWp2GyaEyp_inv12.als",true,false,false,6,39,25,36,23,2704,2,3,2,18,13,13,13,272,112,10,2,""
"classroom_fol/both/4Mv3reeCvogRZFthA_inv11.als",true,false,false,14,53,31,50,32,3712,2,4,2,29,23,23,23,1104,176,36,3,""
"classroom_fol/both/6x57PegH2vSTCDBiH_inv11.als",true,false,false,15,59,33,57,39,4496,2,5,2,32,25,25,25,1264,176,41,3,""
"classroom_fol/both/7pubhyTo48QCAb4nJ_inv6.als",true,false,false,5,31,22,30,19,2256,2,3,2,16,11,11,11,272,112,10,2,""
"classroom_fol/both/AFE9Sse33emvMxdxZ_inv15.als",true,false,false,21,67,32,63,49,5616,2,5,2,33,26,26,26,656,176,22,2,""
"classroom_fol/both/AQruDZmAAjDf5MTsY_inv12.als",true,false,false,15,57,30,56,43,4944,2,5,2,26,19,19,19,400,176,14,2,""
"classroom_fol/both/BM8HcikX2jv2pmiB4_inv11.als",true,false,false,15,59,33,57,39,4496,2,5,2,32,25,25,25,1264,176,41,3,""
"classroom_fol/both/BpJp9WQfimvbpT5iq_inv8.als",true,false,false,15,44,27,44,33,3824,2,4,2,26,20,20,20,432,144,15,2,""
"classroom_fol/both/C8eJfRyewP9Ke8WbQ_inv11.als",true,false,false,14,53,31,50,32,3712,2,4,2,29,23,23,23,1104,176,36,3,""
"classroom_fol/both/CZHFgLjmksaMCBW5v_inv12.als",true,false,false,19,55,30,54,41,4720,2,5,2,30,23,23,23,400,176,14,2,""
"classroom_fol/both/DHCtRkmNWNH42XQZA_inv4.als",true,false,false,2,18,13,11,7,912,2,0,2,13,11,11,11,752,176,23,3,""
"classroom_fol/both/DgaFZJdR4RsgDGBAz_inv4.als",true,false,false,7,27,18,22,17,2032,2,1,2,17,14,14,14,320,80,11,2,""
"classroom_fol/both/FToP3HiR3DaKXaGyy_inv14.als",true,false,false,20,70,33,65,38,4384,2,5,2,40,33,33,33,1056,176,33,2,""
"classroom_fol/both/HdfBKJE8EGLZpCgFD_inv4.als",true,false,false,7,27,18,22,17,2032,2,1,2,17,14,14,14,320,80,11,2,""
"classroom_fol/both/Kr4wZeZzLs8bzZC95_inv14.als",true,false,false,13,64,33,59,32,3712,2,5,2,34,27,27,27,1328,176,40,3,""
"classroom_fol/both/Lkp7PxWgQFRBKqDLX_inv14.als",true,false,false,20,74,36,68,41,4720,2,5,2,41,34,34,34,1792,256,53,3,""
"classroom_fol/both/Mc8KtSNRnXKdhW7Bf_inv14.als",true,false,false,22,84,39,77,50,5728,2,6,2,46,38,38,38,1960,256,58,3,""
"classroom_fol/both/Qioc93EkwofwoDTGK_inv15.als",true,false,false,19,45,27,40,26,3040,2,4,2,29,23,23,23,560,144,19,2,""
