elapsedNanos,threadId,stage,durationNanos,heapDeltaBytes,usedHeapBytes,activeWorkers,rawAstNodes,masgVertices,masgEdges,normalForms,quantifiers,temporalNodes,normalizedNodes,proxyBytes
66109053,28,"raw-ast",64117094,24117248,88772224,7,64,0,0,0,0,0,0,6144
66109163,33,"raw-ast",63845902,18874368,88772224,8,29,0,0,0,0,0,0,2784
66109463,32,"raw-ast",63908162,19922944,88772224,8,24,0,0,0,0,0,0,2304
66109543,29,"raw-ast",64058454,23068672,88772224,8,22,0,0,0,0,0,0,2112
66110263,26,"raw-ast",64120694,24117248,88772224,7,17,0,0,0,0,0,0,1632
66112493,30,"raw-ast",64032203,22020096,88772224,8,64,0,0,0,0,0,0,6144
66114583,31,"raw-ast",63972953,20971520,88772224,5,41,0,0,0,0,0,0,3936
66128053,27,"raw-ast",64139114,24117248,88772224,8,41,0,0,0,0,0,0,3936
78414337,26,"masg",6456960,1048576,90869376,8,0,13,11,0,0,0,0,2488
78428707,33,"masg",2260061,0,90869376,7,0,22,26,0,0,0,0,4624
78495938,31,"masg",3951817,1048576,90869376,6,0,26,35,0,0,0,0,5704
78541038,29,"masg",6247708,1048576,90869376,5,0,16,18,0,0,0,0,3312
78599169,28,"masg",4131098,1048576,90869376,4,0,23,55,0,0,0,0,6392
78628939,27,"masg",6224478,1048576,90869376,3,0,24,36,0,0,0,0,5472
78681780,32,"masg",6157247,1048576,90869376,2,0,18,19,0,0,0,0,3656
78764240,30,"masg",2872246,0,90869376,1,0,28,61,0,0,0,0,7448
83077620,26,"normalize-temporal-skeleton",2151209,3145728,94015104,8,0,0,0,2,0,2,8,1152
83084520,29,"normalize-temporal-skeleton",2161279,3145728,94015104,7,0,0,0,1,0,1,6,800
83089140,32,"normalize-temporal-skeleton",2164709,3145728,94015104,7,0,0,0,1,0,1,13,1584
83126661,33,"normalize-temporal-skeleton",2190900,3145728,94015104,5,0,0,0,1,0,1,13,1584
83288582,31,"normalize-temporal-skeleton",2334831,3145728,94015104,4,0,0,0,1,0,1,18,2144
83448514,28,"normalize-temporal-skeleton",2536434,3145728,94015104,3,0,0,0,1,0,1,36,4160
83531875,30,"normalize-temporal-skeleton",2619905,3145728,94015104,2,0,0,0,1,0,1,39,4496
83540125,27,"normalize-temporal-skeleton",2610674,3145728,94015104,1,0,0,0,1,0,1,31,3600
84517074,26,"normalize-alpha-beta-branch",111181,0,95063680,3,0,0,0,2,0,2,7,1040
84554594,26,"normalize-nnf",23010,0,95063680,4,0,0,0,2,0,2,7,1040
84596975,26,"normalize-prenex",29261,0,95063680,4,0,0,0,2,0,2,7,1040
84635035,26,"normalize-post-prenex-nnf",27630,0,95063680,5,0,0,0,2,0,2,7,1040
84664475,26,"normalize-aci",19470,0,95063680,5,0,0,0,2,0,2,7,1040
84719526,26,"normalize-saturation",45671,0,95063680,6,0,0,0,2,0,2,7,1040
84724586,29,"normalize-alpha-beta-branch",305513,0,95063680,5,0,0,0,1,0,1,5,688
84753246,26,"normalize-temporal-negation",21880,0,95063680,5,0,0,0,2,0,2,7,1040
84820417,29,"normalize-nnf",61761,0,95063680,8,0,0,0,1,0,1,5,688
84879677,29,"normalize-prenex",45560,0,95063680,8,0,0,0,1,0,1,5,688
84896667,26,"normalize-alpha-beta-branch",110311,0,95063680,8,0,0,0,2,0,2,7,1040
84978218,29,"normalize-post-prenex-nnf",88281,0,95063680,8,0,0,0,1,0,1,5,688
84980988,26,"normalize-nnf",75121,0,95063680,8,0,0,0,2,0,2,7,1040
84983138,32,"normalize-alpha-beta-branch",524655,0,95063680,6,0,0,0,1,0,1,10,1248
85025818,33,"normalize-alpha-beta-branch",504364,0,95063680,8,0,0,0,1,0,1,10,1248
85031369,26,"normalize-prenex",41541,0,95063680,8,0,0,0,2,0,2,7,1040
85045239,29,"normalize-aci",58331,0,95063680,6,0,0,0,1,0,1,5,688
85092149,29,"normalize-saturation",34960,0,95063680,8,0,0,0,1,0,1,5,688
85102239,29,"normalize-temporal-negation",3620,0,95063680,8,0,0,0,1,0,1,5,688
85132439,26,"normalize-post-prenex-nnf",81600,0,95063680,8,0,0,0,2,0,2,7,1040
85181350,32,"normalize-nnf",171522,0,95063680,8,0,0,0,1,0,1,10,1248
85230580,33,"normalize-nnf",175991,0,95063680,8,0,0,0,1,0,1,10,1248
85327891,26,"normalize-aci",184581,0,95063680,8,0,0,0,2,0,2,7,1040
85383442,31,"normalize-alpha-beta-branch",773907,0,95063680,8,0,0,0,1,0,1,16,1920
85407292,29,"normalize-reachable-egraph",295773,0,95063680,8,0,0,0,1,0,1,5,688
85617484,31,"normalize-nnf",220352,0,95063680,8,0,0,0,1,0,1,15,1808
85701695,26,"normalize-saturation",365824,0,95063680,8,0,0,0,2,0,2,7,1040
85714785,26,"normalize-temporal-negation",4180,0,95063680,8,0,0,0,2,0,2,7,1040
85760135,26,"normalize-reachable-egraph",35180,0,95063680,8,0,0,0,2,0,2,7,1040
85911777,28,"normalize-alpha-beta-branch",1105861,0,95063680,8,0,0,0,1,0,1,32,3712
86126279,28,"normalize-nnf",198912,0,95063680,8,0,0,0,1,0,1,32,3712
86200859,27,"normalize-alpha-beta-branch",1502904,0,95063680,8,0,0,0,1,0,1,27,3152
86410541,27,"normalize-nnf",169191,0,95063680,8,0,0,0,1,0,1,26,3040
86531552,29,"canonical-metadata",1110830,0,95063680,8,0,0,0,1,0,1,5,688
86532782,26,"canonical-metadata",752877,0,95063680,8,0,0,0,2,0,2,7,1040
86611743,26,"normalize-temporal-skeleton",51350,0,95063680,8,0,0,0,1,0,1,6,800
86711634,29,"normalize-temporal-skeleton",161691,0,95063680,8,0,0,0,1,0,1,14,1696
86718274,26,"normalize-alpha-beta-branch",45610,0,95063680,7,0,0,0,1,0,1,5,688
86745754,26,"normalize-nnf",20490,0,95063680,7,0,0,0,1,0,1,5,688
86770755,26,"normalize-prenex",19740,0,95063680,8,0,0,0,1,0,1,5,688
86810375,26,"normalize-post-prenex-nnf",33570,0,95063680,8,0,0,0,1,0,1,5,688
86856026,26,"normalize-aci",40111,0,95063680,8,0,0,0,1,0,1,5,688
86872366,29,"normalize-alpha-beta-branch",118481,0,95063680,8,0,0,0,1,0,1,11,1360
86911126,26,"normalize-saturation",49570,0,95063680,8,0,0,0,1,0,1,5,688
86922866,26,"normalize-temporal-negation",3810,0,95063680,8,0,0,0,1,0,1,5,688
86936226,29,"normalize-nnf",55540,0,95063680,8,0,0,0,1,0,1,11,1360
86941346,26,"normalize-reachable-egraph",12260,0,95063680,8,0,0,0,1,0,1,5,688
86962027,26,"canonical-metadata",14081,0,95063680,8,0,0,0,1,0,1,5,688
87162978,26,"canonical-prepared",0,0,95063680,7,0,0,0,3,0,3,12,2496
87270819,30,"normalize-alpha-beta-branch",2505743,1048576,96112256,8,0,0,0,1,0,1,31,3600
87386660,30,"normalize-nnf",94090,0,96112256,8,0,0,0,1,0,1,31,3600
88155428,26,"distance",984920,1048576,96112256,8,0,0,0,3,0,3,12,2576
88167348,26,"result-bookkeeping",0,0,96112256,7,0,0,0,0,0,0,0,256
89031726,32,"normalize-prenex",3842286,1048576,96112256,8,0,0,0,1,1,1,5,800
89078646,29,"normalize-prenex",2131150,2097152,97160832,8,0,0,0,1,1,1,6,912
89078776,33,"normalize-prenex",3835516,2097152,97160832,8,0,0,0,1,1,1,5,800
89102206,32,"normalize-post-prenex-nnf",57050,1048576,97160832,8,0,0,0,1,1,1,5,800
89178337,32,"normalize-aci",69211,0,97160832,8,0,0,0,1,1,1,5,800
89245478,32,"normalize-saturation",61151,0,97160832,8,0,0,0,1,1,1,5,800
89251768,33,"normalize-post-prenex-nnf",157742,0,97160832,8,0,0,0,1,1,1,5,800
