relativePath,problemClass,statusFolder,distance,normalizedCanonicalDistance,leftCanonicalFormSize,rightCanonicalFormSize,canonicalFormSize,predicateBodyLevenshteinDistance,rawAstTreeDistance,normalizedRawAstDistance,leftRawAstSize,rightRawAstSize,rawAstSize,candidateReward,groundTruthReward,rewardGap,rewardError
classroom_fol/BOTH/parsed-file1003_inv11.als,classroom_fol,BOTH,16.0,0.888889,18.0,14.0,18.0,78.0,28.0,0.777778,36.0,21.0,36.0,0.4,1.0,0.6,0.6
classroom_fol/BOTH/parsed-file1007_inv14.als,classroom_fol,BOTH,10.0,0.434783,23.0,23.0,23.0,49.0,19.0,0.452381,42.0,42.0,42.0,0.2,1.0,0.8,0.8
classroom_fol/BOTH/parsed-file1008_inv12.als,classroom_fol,BOTH,5.0,0.625,6.0,8.0,8.0,40.0,16.0,1.066667,7.0,15.0,15.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1012_inv14.als,classroom_fol,BOTH,20.0,0.869565,10.0,23.0,23.0,92.0,31.0,0.738095,20.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1013_inv14.als,classroom_fol,BOTH,19.0,0.826087,22.0,23.0,23.0,48.0,56.0,1.333333,38.0,42.0,42.0,0.2,1.0,0.8,0.8
classroom_fol/BOTH/parsed-file1014_inv9.als,classroom_fol,BOTH,16.0,0.842105,19.0,9.0,19.0,67.0,25.0,0.833333,30.0,15.0,30.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1015_inv11.als,classroom_fol,BOTH,20.0,0.909091,22.0,14.0,22.0,74.0,31.0,0.815789,38.0,21.0,38.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1024_inv10.als,classroom_fol,BOTH,9.0,0.818182,11.0,9.0,11.0,50.0,21.0,0.84,25.0,18.0,25.0,0.980392,1.0,0.019608,0.01960799999999996
classroom_fol/BOTH/parsed-file1027_inv11.als,classroom_fol,BOTH,20.0,0.909091,22.0,14.0,22.0,74.0,31.0,0.815789,38.0,21.0,38.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1034_inv12.als,classroom_fol,BOTH,15.0,0.833333,18.0,8.0,18.0,84.0,31.0,0.861111,36.0,15.0,36.0,0.7,1.0,0.3,0.30000000000000004
classroom_fol/BOTH/parsed-file1035_inv14.als,classroom_fol,BOTH,24.0,0.888889,27.0,23.0,27.0,75.0,64.0,1.391304,46.0,42.0,46.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1043_inv12.als,classroom_fol,BOTH,19.0,0.863636,22.0,8.0,22.0,94.0,32.0,0.864865,37.0,15.0,37.0,0.7,1.0,0.3,0.30000000000000004
classroom_fol/BOTH/parsed-file1044_inv8.als,classroom_fol,BOTH,15.0,0.789474,19.0,7.0,19.0,75.0,24.0,0.8,30.0,12.0,30.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1053_inv11.als,classroom_fol,BOTH,21.0,0.954545,22.0,14.0,22.0,73.0,29.0,0.805556,36.0,21.0,36.0,0.1,1.0,0.9,0.9
classroom_fol/BOTH/parsed-file1053_inv12.als,classroom_fol,BOTH,22.0,0.88,25.0,8.0,25.0,93.0,33.0,0.868421,38.0,15.0,38.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1058_inv14.als,classroom_fol,BOTH,21.0,0.913043,10.0,23.0,23.0,95.0,31.0,0.738095,20.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1062_inv11.als,classroom_fol,BOTH,16.0,0.888889,18.0,14.0,18.0,76.0,28.0,0.777778,36.0,21.0,36.0,0.4,1.0,0.6,0.6
classroom_fol/BOTH/parsed-file1065_inv14.als,classroom_fol,BOTH,29.0,0.878788,33.0,23.0,33.0,82.0,61.0,1.033898,59.0,42.0,59.0,0.3,1.0,0.7,0.7
classroom_fol/BOTH/parsed-file1067_inv14.als,classroom_fol,BOTH,13.0,0.565217,23.0,23.0,23.0,21.0,8.0,0.190476,41.0,42.0,42.0,0.5,1.0,0.5,0.5
classroom_fol/BOTH/parsed-file1069_inv10.als,classroom_fol,BOTH,8.0,0.727273,11.0,9.0,11.0,37.0,14.0,0.608696,23.0,18.0,23.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1072_inv14.als,classroom_fol,BOTH,20.0,0.869565,10.0,23.0,23.0,85.0,34.0,0.809524,24.0,42.0,42.0,0.0,1.0,1.0,1.0
classroom_fol/BOTH/parsed-file1073_inv14.als,classroom_fol,BOTH,8.0,0.347826,23.0,23.0,23.0,44.0,64.0,1.391304,46.0,42.0,46.0,0.3,1.0,0.7,0.7
classroom_fol/BOTH/parsed-file1079_inv15.als,classroom_fol,BOTH,16.0,1.066667,15.0,10.0,15.0,46.0,17.0,1.0,17.0,17.0,17.0,0.0,1.0,1.0,1.0
