surface	fixture	coordinate	producer	writer	verifier	status
leaf-grid	0:0	rule	UFJJTUlUSVZFX1NFVF9TSU5HTEVUT04=	ODp0eXBlL0lOVFswOl17MDp9	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	0:1	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	0:2	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
leaf-grid	0:3	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6Ql17MDp9fQ==	PRODUCER
leaf-grid	0:4	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTM6dHlwZS9SRUxBVElPTlswOl17Mjo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9NDA6MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEwOkFsbG95U2lnOkJdezA6fX0=	PRODUCER
leaf-grid	0:5	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0xXXswOn0=	PRODUCER
leaf-grid	0:6	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjI2OkFsbG95RW1wdHlSZWxhdGlvbiRhcml0eT0yXXswOn0=	PRODUCER
leaf-grid	0:7	rule	UkVKRUNURUQ=	ODp0eXBlL0lOVFswOl17MDp9	OTp0eXBlL0JPT0xbMDpdezA6fQ==	PRODUCER
leaf-grid	1:0	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MToxODo4OnR5cGUvSU5UWzA6XXswOn19	PRODUCER
leaf-grid	1:1	rule	UFJJTUlUSVZFX1NFVF9TSU5HTEVUT04=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	PRODUCER
leaf-grid	1:2	rule	UkVKRUNURUQ=	MTY6dHlwZS9DT05TVFJVQ1RPUlsxOjEyOkFsbG95Q2Fycmllcl17MTo0MDoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTA6QWxsb3lTaWc6QV17MDp9fQ==	MTM6dHlwZS9SRUxBVElPTlswOl17MTo0MzoxNjp0eXBlL0NPTlNUUlVDVE9SWzE6MTM6QWxsb3lTaWc6dW5pdl17MDp9fQ==	PRODUCER
