case	surface	fixture	mutation	authority	testOnly	bitwidth	overflow	temporal	rewrite	signature	digest	producerKey	independentKey	writer	outcome	detail
0	serialization	0:FORBID:0	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	cGxhaW4=	f2f2ac3d25366e6882906f4df4f74d087d5a8145bc973d35a1c1bc6485831810	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
1	serialization	0:FORBID:1	base	custom	false	0	FORBID	W117fTowMTI=	cGxhaW4=	cGxhaW4=	e95bb28bb6a9b9a226e481d1f7b21a2126bcb9aa146143d1757e82331f1af453	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEODpbXXt9OjAxMjU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEODpbXXt9OjAxMjU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
2	serialization	0:FORBID:2	base	custom	false	0	FORBID	cXVvdGUic2xhc2hc	cGxhaW4=	cGxhaW4=	6875933434740766cb570f7c11b4fd5fdbc3a24e12e7dc2b008d2f3ba9116773	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMTI6cXVvdGUic2xhc2hcNTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMTI6cXVvdGUic2xhc2hcNTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
3	serialization	0:FORBID:3	base	custom	false	0	FORBID	bGluZQpuZXh0CWNlbGw=	cGxhaW4=	cGxhaW4=	4f591ac6c28d3ef7a82402e56a24c14938b339d00b2fa223b13fc3aef87c7580	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMTQ6bGluZQpuZXh0CWNlbGw1OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMTQ6bGluZQpuZXh0CWNlbGw1OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
4	serialization	0:FORBID:4	base	custom	false	0	FORBID	zrHkuK0=	cGxhaW4=	cGxhaW4=	b87604c3fd55f56f6eba563018912bdebc48cb412461ca5f5f2f2871065b3df5	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjrOseS4rTU6cGxhaW41OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjrOseS4rTU6cGxhaW41OnBsYWluXXswOn0=	-	UNEXPORTED	
5	serialization	0:FORBID:5	base	custom	false	0	FORBID	8J+YgA==	cGxhaW4=	cGxhaW4=	cebc79bbf3d672d4e5a78d925d12915dbf8f4abb385ea559427b0d6d3af434e5	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjrwn5iANTpwbGFpbjU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjrwn5iANTpwbGFpbjU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
6	serialization	0:FORBID:6	base	custom	false	0	FORBID	ZcyB	cGxhaW4=	cGxhaW4=	c28a2e067d4faea630d5d8113008129623e560e533ae96993ec872c88c1bd61f	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjplzIE1OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMjplzIE1OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
7	serialization	0:FORBID:7	base	custom	false	0	FORBID	eAB5	cGxhaW4=	cGxhaW4=	2b4bed3328003eae2c4830961a0893b9cbc59bc7bcd8ee9c61a73fe5261255c8	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMzp4AHk1OnBsYWluNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklEMzp4AHk1OnBsYWluNTpwbGFpbl17MDp9	-	UNEXPORTED	
8	serialization	0:FORBID:8	base	custom	false	0	FORBID	cGxhaW4=	W117fTowMTI=	cGxhaW4=	00da4043ce67b58c3a9feb5236354900e03997724e2487bbad2951d9401078d9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjg6W117fTowMTI1OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjg6W117fTowMTI1OnBsYWluXXswOn0=	-	UNEXPORTED	
9	serialization	0:FORBID:9	base	custom	false	0	FORBID	cGxhaW4=	cXVvdGUic2xhc2hc	cGxhaW4=	04f1d3719ab21d7a96f2c802ed30ac7050da69a7061064b1f8e67df31bc30b01	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjEyOnF1b3RlInNsYXNoXDU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjEyOnF1b3RlInNsYXNoXDU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
10	serialization	0:FORBID:10	base	custom	false	0	FORBID	cGxhaW4=	bGluZQpuZXh0CWNlbGw=	cGxhaW4=	69c7a20e3ec704193173c7953bad105e30283796b2b81de49aa30e8d3282a641	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjE0OmxpbmUKbmV4dAljZWxsNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjE0OmxpbmUKbmV4dAljZWxsNTpwbGFpbl17MDp9	-	UNEXPORTED	
11	serialization	0:FORBID:11	base	custom	false	0	FORBID	cGxhaW4=	zrHkuK0=	cGxhaW4=	98b9cfa5ca6c9649d25b04833eb58199258da9dfc10d2b01b6a9f9654b2101bf	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI6zrHkuK01OnBsYWluXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI6zrHkuK01OnBsYWluXXswOn0=	-	UNEXPORTED	
12	serialization	0:FORBID:12	base	custom	false	0	FORBID	cGxhaW4=	8J+YgA==	cGxhaW4=	4b20348299aea0222873d6d8ccecc3cf1c4022e84757620b1efe6a79b2968a4e	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI68J+YgDU6cGxhaW5dezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI68J+YgDU6cGxhaW5dezA6fQ==	-	UNEXPORTED	
13	serialization	0:FORBID:13	base	custom	false	0	FORBID	cGxhaW4=	ZcyB	cGxhaW4=	03523c1f57fd5a37f258f3e1dc1d3d3373864169959b9becfdc95cce9815b811	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI6ZcyBNTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjI6ZcyBNTpwbGFpbl17MDp9	-	UNEXPORTED	
14	serialization	0:FORBID:14	base	custom	false	0	FORBID	cGxhaW4=	eAB5	cGxhaW4=	bf4f45518546951d8535c78dd719ea6e68144a35691301ec9a29085a771545e6	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjM6eAB5NTpwbGFpbl17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjM6eAB5NTpwbGFpbl17MDp9	-	UNEXPORTED	
15	serialization	0:FORBID:15	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	W117fTowMTI=	5205fa004d3acc66f8cb319f2199e0af9badf17b7b455933ddbb54883ddf1058	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW44Oltde306MDEyXXswOn0=	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW44Oltde306MDEyXXswOn0=	-	UNEXPORTED	
16	serialization	0:FORBID:16	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	cXVvdGUic2xhc2hc	63a70eada82622262b1718480af6dfac856f7e493a276b1dd5bc47a9d6401937	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4xMjpxdW90ZSJzbGFzaFxdezA6fQ==	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4xMjpxdW90ZSJzbGFzaFxdezA6fQ==	-	UNEXPORTED	
17	serialization	0:FORBID:17	base	custom	false	0	FORBID	cGxhaW4=	cGxhaW4=	bGluZQpuZXh0CWNlbGw=	4e2161efee0b940eafbf9fad91dafb8df56c016f329dc337d60b8103861fe4de	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4xNDpsaW5lCm5leHQJY2VsbF17MDp9	MTY6c2VtYW50aWMtcHJvZmlsZVs1OjE6MDY6Rk9SQklENTpwbGFpbjU6cGxhaW4xNDpsaW5lCm5leHQJY2VsbF17MDp9	-	UNEXPORTED	
