requirement_id	claim_class	claim_sha256
A-01	F/I	909a5f9234b99db72cea8b9980b3650a8a61877c3a40760d1cab6cc5f72bf3ae
A-02	F/I	c1ded876435daca48744a1b141bf66415065abba3ba659fa581320ea81df24ad
A-03	F/I	fff646737cbb7dbdb5f75bab5bc5f3e7f01f2da1c9e3ea59aa2ee0bb5936a81d
A-04	F/I	c98b6507009801f2735a3d08e8aa29e7c4e80d1425a648b0c36aac4125849fc5
A-05	F/I	86e783075dd9bafe3760d434c763431608475f112661d14ccdea9e6aff3f0e09
A-06	F/I	f7ae84f7871d28c56149b43098b4cfa18ff0fe252324b58743b9def2baf527ec
A-07	F/I	a9fb89e85ccf809c3058227d73b62452b70468a4eae41d5dca0beceac2482484
A-08	F/I	0d9efe7d6ae991fc36b1d74bfcb961d49b31ff1870e38b95a3f8f0630a6ec135
A-09	F/I	9c820e5c4cf94515e5ddef62b4aee2c21592505561e85abdb479ac1574530ea1
A-10	F/P	d539e41d9d85920485e989ab8a23b148839d08a5f66e9faac8ef2b9ac160b39e
A-11	F/I	49466708850de79bad154fc93dfcae0e635b422b6eb71e66e8fc4f85b7ed0594
A-12	F/P	f2181d135695b755fa6af22a1c80bf7d4cc1a78d4b31e94225d9ab4e1f239da6
G-01	U/I	a97b31d693fcb38477f7887840306155f1ebdc55a5839f06e08eaced4d36ebdb
G-02	U/P	bcd536d62d0dae60396eb0c2ba10b180af81a0dc89ee2608f11d22a5da6914b5
G-03	U/P	e7ea005566ea59d1721fc250b73de0b155db435a02d9fb2591778cb7830f4057
G-04	U/I	cd94e7bfc46d71a32d8f8566931d2e20aaa63f66ffc679571df09445a44f4b92
G-05	U/I	c2715fb63547d1602f5ed57a5c6fc3c456d489870808878d059061211fe7a633
G-06	U/I	de4b776d7d42767f5796d41bcd1d1201905145807cb9fa955f22d3d3cbea9d47
G-07	U/I	a000debcc2bee801aeed70d648ed615c822c199c59be0ee05685a249532edf66
G-08	P	cbb5463a905bc30a1f410de31a1c22accca867e38ca185545b8e547d22ac7f10
G-09	I	f5f81ea6b991eafb08c0094155fdd92a5367e59d297f1bfc01df16294b2f3e11
G-10	I	3a56ce0a24935ae13c95f3625cb74f90d41b7372e4cbc3bd4133f7e6234f0505
G-11	P	0d69c4a80cc9fd76cfcc51125d35922b3e2e02ef9ab5b3b81d2df9b2c7813040
G-12	I	c2f3490370daf9b8652340f423149e63830113081eb8b6951fa23772fa079b38
G-13	E/P	ccc9f0db05c2bc47bc4b511a1afb1ddfe2c884bf86bc20e8364064474084413d
G-14	P	42c8f6980168678c345681de6892e77a892b789e2a57839233f46fd3a3f20789
G-15	I	cf235ca02c21f5465c106049a488084319dff2177cdfa8c8980428e7ecdc3dbf
G-16	I/P/E	55d8f25a9b45ee3deace85550ff016e29558225d04bad00336f778f07a7c4aa5
G-17	I/P	0083fe6d6b89d25df2fde7924f753fc9be00dfd283a458a9e458792bd0a44fd2
G-18	E/P	0e41d0c95dfc56c17619392d376b857ada14efaef1b4247191d64c09b7f18ebc
P1-01	I	f4486d01f21e8d3c36616c00ec59a4a1a8ae77a0f3cbf1f3766a64c28537f8f3
P1-02	U/I	a2ae0c29fc467113d5b4e73472be65ee06ab23fd3edec8a8f1a6c3bf8064a22a
P1-03	U/I	da23c175799de61eaa74dfdf356927a22977fa424f6e1ace08e79acaca4cdf05
P1-04	U/I	3f21609e7836b9d982bb677409d16207a9715eed342a8a9eaba8a558cf3d37b4
P1-05	U/I	3177b459222015bc1a67e108ca3b636dda3df1fdfe2147121d681cbab6349615
P1-06	U/I	30fb21fcb2a524cc57aa6a240c4380ce349da552b012527be9e41ff988e810f9
P1-07	U/I	d3acdcf133d537dd9ff91a096485f330dbf53cda8c9f223a6bf25f4b156c08f5
P1-08	U/I	d1d676e2e8137b650615102be2d892e26467ddae8c44476f99905f8f21590d7d
P1-09	U/I	88fab51f179dd66df7b0703a9e3d93dac32ffde6432e699709e6ce3ab9bb02d3
P1-10	U/I	9de7836312c59f4bd84f6ab35bb9539dc0c9d377e380ac7c69c76a7f000db478
P1-11	U/I	e52d1a052740761f20b94567a969bce9088fe742f06f3b03b3c181c887edf190
P1-12	U/I	81aa5d98c9d4ac4f3bb10fd959dce626bd82faf45a4928bd8ce5c6df93c17dbe
P1-13	U/I	d88e29bde4aece1145e4645041756e8963b6e5ccd5f8d4e2d98334e00b6c5b2a
P1-14	U/I	44aad69520fd6a108714673bed03eba03f8fa776999470c575e7d718dc196506
P1-15	I/P	54d4d2121c0f1d04cc4fbfda65748f845b226da5cb8b89efc18491de910af381
P1-16	I	2ff9bdd7b3b7112086c0a821d74da9c49a16620a39e6ab62f8b348e4a8d6e052
P1-17	I	ed22045e9aa67456e2d4eb2f334d80c1e3c1524cb099bb1e9d8a3d7dea864db3
P1-18	U/I	37cd24df073638b2e92c29e185e99320e45d7b721554cdfb92b97549130e9123
P1-19	I	fc135df69d2642ebac2bb48cee47019d8e89cf71cde69dd6da898916a11876bb
P1-20	P	4a8f0bb7a7706476d0b43b26e04226c1883239eeeff6df765dbaddd4bb56b217
A2-01	U/I	38ac6b152f7e2176d15f7391a88879242d420feb897662b37ac0aafde3cecd32
A2-02	U/I	5f8748b76ed20d27dc874462c96ae6215e4357216997ea072ea4de0c3f8a98b5
A2-03	U	b7f78a96d5c0dee917d3af6e52f2ae7c0d926eaee7670bf9d74f760b63822479
A2-04	U	e5ed1e70cefbc417e2046ae878201b4c371f9e2223ed11f91e371d4658541e3d
A2-05	U	dd47dbf983c253f843c8b7583869cfa5df16a117f8517fa03a2553938ba7071f
A2-06	F/I	75921bb49ad69c617dfbccf8e31dfd7ed23bf3eb83daf5523811f7cf4a6f10c4
A2-07	U/I	1f73b67ab4d51c8aa6cea982b564d710f2a6711852633153eedd075026a87f6e
A2-08	U/I	bf6c4d114a718433a47d86edd7f729e2225f1fedbbcfef8663076f8783aa579f
A2-09	U/I	b38e626545011035bf8ce43e0b067f937b4e3289e48fe5b351a4ecc55fb93c04
A2-10	U/I	6f51ec6aaf3f637b5f284b2a71c81cc94046d022f78ad079a59a6242e0b658fc
A2-11	P	d12228a367db5e5046a6eb901b867b559db8c57590b6c91ada4e8dd473459ef5
A2-12	P	7238742b9ecea6ad607bbb6fc152d0226175bb229caa2ed5a69352dd5f5aafae
A2-13	P	ae517f5c70c038ebfbf71a9fec589ca0fdcc1df55870e1946c463c875072e326
A2-14	P	155ae3d4bcacf2992bc8fe1294c8ee5f6f5a550e0f246617a3a284c6e66c39c3
A2-15	I/P	b862e84d7ff5369124ec35570dd1c4eec6878b31c213210ffd13fb553e75b81c
A2-16	I	71a9d475059d53bdac10e484990b7e089460598f1f8ad9ceb043117f8b06e968
A2-17	U/I	1424fff8c9cd0a2b823fe7b322e13dee255ff94422964be6992567a63b6b842b
A2-18	U/I	8f67707d24cb3df11432cbf0529468db4ee503c5db4dcdac1ab41f1df9de0e3a
A2-19	U/I	214964f7934381d1d1a1c8e2cabef223ad3b949e3cd49e16df671163e3ba157b
A2-20	P	faa6f1a4c639f3ac9cd5995ee0bd1296074b428fb8ad5bcd81054619d1499009
A2-21	U/I	4bf2b29d09a49228b6013a04ae6d04576b2e092719bf27e3b9a9d320d0fdd6d3
A2-22	U/I	c4c3d3558acdd3162344346a38cf3f320b80486d1626ebdc8d7558cebf129a98
A2-23	U/I	88cd036c148f8baf6ed019c18205184021f9e037772881eb81e1c081ee9c7a2a
A2-24	U/I/P	b8a2af71393a0d31b4a39ecaa99be26a9e24b47701ff53b7370fff22db8749c7
A2-25	P	a216882498a514d63ccf4a77326d4b68e46ca2296012892d295bb0ec23687c0a
A2-26	I/P	2383859cecf4dbfa79f149e0308fde456c5fcb367993b813221961fbd99da6ad
