relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,19,82197461,146089226,238767642,52386809,108783559,167113198,51,39,34,34,0,0,0,0,0,0,0,2496,""
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,23,82180332,135656502,230439595,49229238,104767116,161532130,47,35,29,29,0,0,0,0,0,0,0,2240,""
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,15,82214442,142923000,237721473,57971554,108789640,174496820,63,39,32,32,0,0,0,0,0,0,0,2496,""
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,27,81735388,166717882,253319268,50201283,130729996,184557966,83,51,42,42,0,0,0,0,0,0,0,3264,""
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,18,82187552,153126182,239303195,52576236,110168164,165937787,70,37,32,33,0,0,0,0,0,0,0,2368,""
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,33,82243352,157724250,252504752,53560191,122846402,184219698,79,55,48,48,0,0,0,0,0,0,0,3520,""
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5","inv5c",true,false,10,82124791,130923763,217669471,53565687,87353362,144939876,26,19,15,15,0,0,0,0,0,0,0,1216,""
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,11,82174961,126967622,221895786,49824011,91785722,149719048,40,24,20,20,0,0,0,0,0,0,0,1536,""
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,24,82234372,156338958,242846104,51346151,114116314,169107692,79,43,35,35,0,0,0,0,0,0,0,2752,""
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,15,82141291,140408739,226532023,50674632,103678292,157638330,53,35,28,28,0,0,0,0,0,0,0,2240,""
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,20,82191962,146360338,232977085,50378791,106621797,160633075,54,35,29,29,0,0,0,0,0,0,0,2240,""
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,21,82216672,143054271,237753883,51190234,107567725,166635024,59,37,30,30,0,0,0,0,0,0,0,2368,""
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,39,82191072,164384413,250925259,52267937,119479056,175645789,83,51,50,51,0,0,0,0,0,0,0,3264,""
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,25,82204002,158435795,245119543,51208574,114076108,169010059,59,41,34,34,0,0,0,0,0,0,0,2624,""
"classroom_fol/both/2f6yTKTJMaZCeM8Ng_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,23,82187072,145791593,238413459,51745868,113671298,171294708,63,35,34,35,0,0,0,0,0,0,0,2240,""
"classroom_fol/both/2i2SqsehZNhqqTSHX_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,43,82245442,153852688,246487124,50720635,118049797,174759473,81,55,49,49,0,0,0,0,0,0,0,3520,""
"classroom_fol/both/2ipKjuGMwqtshtQYg_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,25,8262716,30678117,38967123,7714674,26971634,34705238,59,41,34,34,0,0,0,0,0,0,0,2624,""
"classroom_fol/both/2nbRhq8L97qTbDkg8_inv4.als","classroom_fol","BOTH","inv4","inv4c",true,false,5,6570792,12913104,19640158,6031720,10044866,16229377,19,14,12,12,0,0,0,0,0,0,0,896,""
"classroom_fol/both/2oqwgMWXGYif8yofE_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,33,10956228,33476629,44452248,5891259,30951220,36858989,77,54,47,47,0,0,0,0,0,0,0,3456,""
"classroom_fol/both/2ozYzQt4SGyqrn9EX_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,32,9249785,22198719,31466154,6471730,22122925,28608435,77,50,42,42,0,0,0,0,0,0,0,3200,""
"classroom_fol/both/2tCeEA4dfRaBYCijR_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,30,28754402,59083145,87891887,25765972,52823135,78640087,63,45,42,43,0,0,0,0,0,0,0,2880,""
"classroom_fol/both/2vEm4FQHNpQECkJwp_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,30,21056939,27312839,48393689,21058205,24933879,46013194,53,50,49,50,0,0,0,0,0,0,0,3200,""
"classroom_fol/both/2vLMTEbEhvra9ad9z_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,19,28961653,35738248,64714941,26862183,34892344,61766337,55,36,29,29,0,0,0,0,0,0,0,2304,""
"classroom_fol/both/32QDT49MWFELwQjyG_inv10.als","classroom_fol","BOTH","inv10","inv10c",true,false,16,23080956,18700841,41798387,23079288,14806554,37898482,45,30,23,23,0,0,0,0,0,0,0,1920,""
"classroom_fol/both/33ckT2bzHTwnRFKkP_inv13.als","classroom_fol","BOTH","inv13","inv13c",true,false,13,28663691,11715324,40396975,24445170,11541089,36000009,30,23,19,19,0,0,0,0,0,0,0,1472,""
"classroom_fol/both/36Jyf6p7sv7Lb76vy_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,19,29693058,27720653,57444162,25010519,26807194,51845803,55,36,29,29,0,0,0,0,0,0,0,2304,""
"classroom_fol/both/37KBiEwwWiDTYXtCF_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,21,27090518,34265276,61370354,24937240,33688604,58636964,55,36,30,30,0,0,0,0,0,0,0,2304,""
"classroom_fol/both/38Li9ARcTBnCdR3kM_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,33,19110504,53277549,72399793,19010901,48531848,67552499,77,54,47,47,0,0,0,0,0,0,0,3456,""
