relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,26,126599557,13822226,155424717,71643789,3274395,80524662,51,79,76,79,3,2,16,2,0,0,0,13094,""
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,22,126341494,8309323,151973750,62133158,5385639,78169590,47,76,72,76,4,3,18,3,0,0,0,12420,""
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,16,126409606,12160972,157668084,51408514,7945197,68330505,63,87,83,87,4,2,25,2,0,0,0,14336,""
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,46,126403696,25362794,160931769,57622223,12289439,71971125,83,121,116,121,5,3,31,3,0,0,0,20008,""
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,47,126718097,24502527,160270284,58572706,10694445,71358743,70,124,117,124,7,5,28,5,0,0,0,20284,""
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,36,127843707,16735468,161861066,49447251,7183339,63726302,79,127,122,127,5,3,32,3,0,0,0,20990,""
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5","inv5c",true,false,15,126431856,7973921,143860399,56118485,3725365,64252081,26,36,34,36,2,1,7,1,0,0,0,5954,""
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,12,127159541,8095212,154460540,47845219,3387116,60188345,40,51,48,51,3,2,15,2,0,0,0,8292,""
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,43,126413206,18714223,156027392,63776525,11059695,78179978,79,105,101,105,4,2,29,2,0,0,0,17450,""
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,28,126878579,16639867,154116147,56404980,10493627,71032169,53,87,83,87,4,3,18,3,0,0,0,14472,""
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,22,126378076,19012025,155248095,63211407,10668156,78123714,54,78,74,78,4,2,20,2,0,0,0,12824,""
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,28,126539487,16216184,159962802,61206835,7966407,78568783,59,90,86,90,4,2,21,2,0,0,0,14892,""
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,39,126655388,21928117,157823705,48641474,14502892,65192008,83,100,96,100,4,3,38,3,0,0,0,16484,""
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,126813158,21524955,157282231,58339844,9027493,72849165,59,91,87,91,4,2,21,2,0,0,0,15066,""
"classroom_fol/both/2f6yTKTJMaZCeM8Ng_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,24,126475315,18647313,160287674,62727594,7414620,77343943,63,78,74,78,4,3,29,3,0,0,0,12802,""
"classroom_fol/both/2i2SqsehZNhqqTSHX_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,42,126901219,15275606,156422304,63999854,6881040,78914081,81,78,76,78,2,1,29,1,0,0,0,12924,""
"classroom_fol/both/2ipKjuGMwqtshtQYg_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,126361295,19609070,154945743,58510629,9483570,70106941,59,91,87,91,4,2,21,2,0,0,0,15066,""
"classroom_fol/both/2nbRhq8L97qTbDkg8_inv4.als","classroom_fol","BOTH","inv4","inv4c",true,false,5,126451796,6065576,141490250,54780649,3796623,61403311,19,24,22,24,2,1,7,1,0,0,0,3790,""
"classroom_fol/both/2oqwgMWXGYif8yofE_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,34,126404116,22399031,160326874,61678196,10948655,77384701,77,119,114,119,5,3,32,3,0,0,0,19718,""
"classroom_fol/both/2ozYzQt4SGyqrn9EX_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,37,126658107,22412341,158269688,52772909,18560255,75248217,77,119,114,119,5,3,32,3,0,0,0,19726,""
"classroom_fol/both/2tCeEA4dfRaBYCijR_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,31,126647577,13118350,157862005,56905343,7184769,73062495,63,101,97,101,4,2,20,2,0,0,0,16652,""
"classroom_fol/both/2vEm4FQHNpQECkJwp_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,28,126530266,9257821,150746261,59641996,4332824,73547257,53,80,77,80,3,2,17,2,0,0,0,13392,""
"classroom_fol/both/2vLMTEbEhvra9ad9z_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,31,126404946,17239991,153082689,47760660,8389195,61244554,55,95,91,95,4,3,18,3,0,0,0,15760,""
"classroom_fol/both/32QDT49MWFELwQjyG_inv10.als","classroom_fol","BOTH","inv10","inv10c",true,false,20,126402096,13838146,149639633,54389292,5419179,63302539,45,53,51,53,2,1,11,1,0,0,0,8816,""
"classroom_fol/both/33ckT2bzHTwnRFKkP_inv13.als","classroom_fol","BOTH","inv13","inv13c",true,false,15,127511384,8209192,143914810,55538926,3940984,61456394,30,38,36,38,2,1,10,1,0,0,0,6288,""
"classroom_fol/both/36Jyf6p7sv7Lb76vy_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,30,126353605,7861830,151593738,58284989,5806826,72683977,55,95,91,95,4,3,18,3,0,0,0,15752,""
"classroom_fol/both/37KBiEwwWiDTYXtCF_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,23,127080251,17695765,153711014,60377254,10768407,76011812,55,84,80,84,4,2,20,2,0,0,0,13820,""
"classroom_fol/both/38Li9ARcTBnCdR3kM_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,34,126456616,26244051,161995238,56390195,11045996,70530870,77,119,114,119,5,3,32,3,0,0,0,19718,""
"classroom_fol/both/3CE4Jz7DKmwDn4tN2_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,47,127136321,22542152,158298969,65016928,14066853,81237103,81,122,118,122,4,2,30,2,0,0,0,20192,""
"classroom_fol/both/3ChwqjB898fG2pxQJ_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,126369185,22534842,158555491,61043355,9592932,76161252,59,91,87,91,4,2,21,2,0,0,0,15066,""
"classroom_fol/both/3J3J8yrCzWkBzroaX_inv13.als","classroom_fol","BOTH","inv13","inv13c",true,false,15,126456026,11300577,146995613,63931721,5262227,73133551,30,38,36,38,2,1,10,1,0,0,0,6284,""
"classroom_fol/both/3JS4dYHWcP9Kuh2eE_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,14,126687477,14548941,150424719,53552464,5373196,63803691,40,54,52,54,2,1,11,1,0,0,0,9084,""
"classroom_fol/both/3JnvJ3RS6ogouqCG2_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,14,15975652,1318980,17384702,11437893,1203695,12728377,40,49,47,49,2,1,11,1,0,0,0,8078,""
"classroom_fol/both/3K8Yy4JYRbeazdyba_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,39,42562595,14774103,57421179,27774257,1159136,29001192,79,116,112,116,4,2,31,2,0,0,0,19244,""
"classroom_fol/both/3L69RS28yrrgCvCvM_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,18,53544859,311072,53875241,34456845,311458,34785613,45,57,55,57,2,1,15,1,0,0,0,9516,""
"classroom_fol/both/3PheSD3WgTy97Zg5t_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,33,62860550,5353441,68232331,26896589,2359160,29270749,77,107,103,107,4,2,29,2,0,0,0,17800,""
"classroom_fol/both/3QMzoSGryARLh8Qm2_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,19,76656335,422503,77095958,24706766,423058,25145024,42,59,57,59,2,1,11,1,0,0,0,9888,""
"classroom_fol/both/3QuTMeFTmYGLxiQa5_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,28,51640255,3130674,54797499,34424133,553978,35000121,61,92,88,92,4,2,22,2,0,0,0,15236,""
"classroom_fol/both/3SinRe9qGFN2TTweu_inv7.als","classroom_fol","BOTH","inv7","inv7c",true,false,11,53008885,196321,53219226,30161704,196530,30370523,34,42,40,42,2,1,9,1,0,0,0,6948,""
"classroom_fol/both/3SxYJRiH8stfuntkE_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,61568370,864226,63963409,34050048,865157,34931955,59,97,92,97,5,3,22,3,0,0,0,15994,""
"classroom_fol/both/3Tv9LmDgCXnqwZdMh_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,12,57916212,353312,58323625,36178649,354199,36584457,36,46,44,46,2,1,9,1,0,0,0,7580,""
"classroom_fol/both/3XpLY9u8Gexi8Xoux_inv13.als","classroom_fol","BOTH","inv13","inv13c",true,false,39,57284777,392743,57693120,35015812,393508,35422320,58,59,57,59,2,1,22,1,0,0,0,9814,""
"classroom_fol/both/3YMAcosfNATkJK62X_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,28,54125264,367663,54518497,38565940,368339,38958058,53,80,77,80,3,2,17,2,0,0,0,13392,""
"classroom_fol/both/3ZqsGa5e5oSDc2w8p_inv7.als","classroom_fol","BOTH","inv7","inv7c",true,false,13,33734948,255692,34011310,33304091,256449,33577690,36,46,44,46,2,1,9,1,0,0,0,7588,""
"classroom_fol/both/3appas8mTCoN2EE29_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,3,73224619,162951,73411650,34930823,163259,35116582,32,42,40,42,2,1,10,1,0,0,0,6930,""
"classroom_fol/both/3d6Yrd4RJKRciArTX_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,29,63665966,574354,64286601,33904468,575038,34523796,61,97,93,97,4,2,21,2,0,0,0,16030,""
"classroom_fol/both/3dF4DY36u4D5Mr6MK_inv10.als","classroom_fol","BOTH","inv10","inv10c",true,false,10,35164148,5994616,47925546,28260622,390699,28700481,43,49,47,49,2,1,11,1,0,0,0,8180,""
"classroom_fol/both/3dbotfZWTzrFgjPd3_inv6.als","classroom_fol","BOTH","inv6","inv6c",true,false,8,47409232,168102,47590654,30106602,168380,30286772,31,40,38,40,2,1,7,1,0,0,0,6594,""
