relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,26,135646590,38186895,184965562,45329562,5543694,56652328,51,79,76,79,3,2,16,2,0,0,0,13030,""
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,23,137122261,10666149,163132806,48689620,7533366,63553892,47,79,75,79,4,3,18,3,0,0,0,12938,""
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,15,137533027,9724726,170189064,45716111,8765060,62059518,63,88,84,88,4,2,25,2,0,0,0,14538,""
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,45,135757032,35758941,177263464,53040654,18581046,74539257,83,122,117,122,5,3,31,3,0,0,0,20228,""
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,48,135642851,32887751,174346683,49973570,18188908,71242115,70,126,119,126,7,5,28,5,0,0,0,20644,""
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,38,135615510,17542626,170046052,49060144,13902707,71524650,79,131,126,131,5,3,32,3,0,0,0,21694,""
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5","inv5c",true,false,15,136023445,8211715,149850689,44395064,4682920,53126342,26,37,35,37,2,1,7,1,0,0,0,6140,""
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,12,136025226,8808094,162066121,46062276,5721472,60089306,40,52,49,52,3,2,15,2,0,0,0,8470,""
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,45,135626040,24898639,165768873,47220567,14311258,63500610,79,94,91,94,3,2,28,2,0,0,0,15544,""
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,28,136847387,21879417,163156106,41629375,13187127,57398428,53,86,82,86,4,3,18,3,0,0,0,14248,""
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,23,135617090,23369377,164596896,48052549,11291694,62634051,54,86,82,86,4,2,20,2,0,0,0,14164,""
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,28,135597350,12387463,164893540,48102167,10659192,67889941,59,93,89,93,4,2,21,2,0,0,0,15428,""
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,45,135833293,29419852,170642571,38855393,16984068,58128646,83,145,138,145,7,6,41,6,0,0,0,23740,""
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,28,135686791,25332685,166855498,51749730,15262601,69885947,59,93,89,93,4,2,21,2,0,0,0,15434,""
"classroom_fol/both/2f6yTKTJMaZCeM8Ng_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,26,135623060,22345513,169317992,46886087,13078407,66777918,63,88,84,88,4,3,28,3,0,0,0,14458,""
