relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,25,142151556,31316418,185016939,52046484,10829146,69112797,51,73,70,73,3,2,15,2,74,175,0,20118,""
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,22,142103434,64352041,219830249,54223386,15252251,76732437,47,67,63,67,4,3,18,3,70,179,0,18522,""
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,16,142149495,72067208,229079686,53029119,13579106,72599937,63,82,78,82,4,2,25,2,86,212,0,22962,""
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,45,142645516,103987588,251271599,55289737,28762311,86696978,83,114,109,114,5,32,62,32,121,297,0,31994,""
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,37,142552014,32229156,180612049,50505053,23913446,76299771,70,129,122,129,7,5,28,5,117,304,0,35700,""
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,36,142114505,78753744,234074518,55547599,14825862,77942348,79,120,115,120,5,3,31,3,166,393,0,34152,""
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5","inv5c",true,false,15,142178886,15653019,163142473,51484124,6811451,61065663,26,35,33,35,2,1,7,1,17,41,0,9314,""
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,12,142105174,19281263,174598807,53426009,9091245,70612513,40,51,48,51,3,2,14,2,21,51,0,13396,""
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,43,142534824,73724162,220989782,51656561,22271843,76241494,79,94,90,94,4,32,59,32,119,288,0,26604,""
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,27,142118775,25374237,173022455,64574561,14512300,81649540,53,73,70,73,3,2,17,2,68,166,0,20308,""
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,22,142091015,28830217,176075997,51541718,12655449,66180100,54,76,72,76,4,2,19,2,69,167,0,20832,""
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,28,142074194,23261604,178608539,51708319,10455269,68592793,59,85,81,85,4,2,20,2,77,189,0,23462,""
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,40,142580444,41985035,189354417,49822474,19603053,72150466,83,66,62,66,4,3,38,3,78,225,0,19160,""
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,142125625,28954690,176410114,52152697,14483844,68960092,59,87,83,87,4,2,20,2,95,225,0,24282,""
"classroom_fol/both/2f6yTKTJMaZCeM8Ng_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,24,142612325,28963110,182381405,57789623,15150357,77879810,63,64,60,64,4,3,29,3,71,191,0,18174,""
"classroom_fol/both/2i2SqsehZNhqqTSHX_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,44,142145946,26390648,179064278,58415254,15619326,81137495,81,47,45,47,2,1,29,1,41,121,0,13508,""
"classroom_fol/both/2ipKjuGMwqtshtQYg_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,27,142135575,30909010,178881664,51116974,13779437,66675722,59,87,83,87,4,2,20,2,95,225,0,24282,""
"classroom_fol/both/2nbRhq8L97qTbDkg8_inv4.als","classroom_fol","BOTH","inv4","inv4c",true,false,5,142605086,16327383,163876939,42379394,6677093,51274388,19,24,22,24,2,1,7,1,0,0,0,5906,""
"classroom_fol/both/2oqwgMWXGYif8yofE_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,33,142157096,31522373,179049548,52160429,22810699,77033172,77,112,107,112,5,3,31,3,150,361,0,31984,""
"classroom_fol/both/2ozYzQt4SGyqrn9EX_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,34,142550424,78357306,225816840,52687622,19477923,74789922,77,112,107,112,5,3,31,3,150,361,0,31992,""
