relativePath,problemClass,status,leftPredicate,rightPredicate,success,equivalent,distance,parseNanos,engineNanos,totalNanos,parseCpuNanos,engineCpuNanos,totalCpuNanos,rawAstNodes,representationUnits,eclasses,enodes,unions,rebuilds,rewriteApplications,iterations,slots,slotMappings,redundantSlots,estimatedBytes,error
"classroom_fol/both/23hRS4QxeZXFFZ2Z9_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,19,73196425,1151366130,1227135196,55412861,1011025095,1068644829,51,37,20,20,0,0,0,0,22,0,0,4224,""
"classroom_fol/both/24ZCaPwM98ggGjtyE_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,23,67664820,2091682885,2170299253,40512319,1868564857,1918155854,47,35,20,15,0,5,0,0,21,0,0,3632,""
"classroom_fol/both/24ccfudCWacPrfGZr_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,15,81348439,1338506005,1420045187,51242469,1172598826,1223913185,63,38,22,22,0,0,0,0,24,0,0,4640,""
"classroom_fol/both/25vmLCb4pTEHnKuri_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,25,82740486,1669584009,1752455307,51836220,1485886999,1537742219,83,49,27,27,0,0,0,0,34,0,0,5840,""
"classroom_fol/both/2C2m8AtvMH8brGMdj_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,19,81849836,1376948674,1459029482,53816544,1220175620,1274111733,70,36,22,20,0,2,0,0,23,0,0,4384,""
"classroom_fol/both/2GzMeioEAs7QCvQuA_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,31,83148551,1961290873,2044589926,52724532,1742202690,1794992622,79,53,29,29,0,0,0,0,39,0,0,6352,""
"classroom_fol/both/2KmASqDBmqEueukiz_inv5.als","classroom_fol","BOTH","inv5","inv5c",true,false,10,82738246,655639304,738476241,53538550,532929247,586491557,26,19,11,11,0,0,0,0,7,0,0,2160,""
"classroom_fol/both/2QCmEpRWEzAd9qZBW_inv9.als","classroom_fol","BOTH","inv9","inv9c",true,false,12,82733956,990828517,1073742745,53466780,827757013,881303262,40,24,18,15,0,3,0,0,5,0,0,2992,""
"classroom_fol/both/2RCJE6Yh2DuSRiueF_inv14.als","classroom_fol","BOTH","inv14","inv14c",true,false,23,81775525,1338360553,1420210828,54358270,1174494895,1228865415,79,41,22,22,0,0,0,0,28,0,0,4768,""
"classroom_fol/both/2S5sD2BA5mvLdj46b_inv12.als","classroom_fol","BOTH","inv12","inv12c",true,false,14,82894808,1089280586,1172249864,51972709,944880436,996869565,53,33,18,18,0,0,0,0,19,0,0,3776,""
"classroom_fol/both/2XQA7sCc3qx4P67h2_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,20,81651214,1293811203,1375534227,52511480,1125466226,1177992306,54,34,21,20,0,1,0,0,21,0,0,4256,""
"classroom_fol/both/2ZCBtnzd9aXz4MTH7_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,22,82782996,1553044589,1635947437,51560303,1361219286,1412863528,59,37,22,22,0,0,0,0,25,0,0,4672,""
"classroom_fol/both/2bJwfuhKoMWg2he5F_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,39,81382270,7924287143,8005736904,52751866,7275534426,7328303822,83,51,34,15,0,19,0,0,36,0,0,5008,""
"classroom_fol/both/2e7SWPEE3PyJZWXBx_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,24,82957539,1656804000,1739903341,52851246,1465359389,1518244685,59,40,24,24,0,0,0,0,30,0,0,5184,""
"classroom_fol/both/2f6yTKTJMaZCeM8Ng_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,23,82798306,2640294337,2723238556,52155425,2359909213,2412094588,63,35,24,14,0,10,0,0,21,0,0,3776,""
"classroom_fol/both/2i2SqsehZNhqqTSHX_inv15.als","classroom_fol","BOTH","inv15","inv15c",true,false,43,84429935,7480243688,7564837486,53844206,6863794371,6917672197,81,55,33,14,0,19,0,0,33,0,0,4736,""
"classroom_fol/both/2ipKjuGMwqtshtQYg_inv11.als","classroom_fol","BOTH","inv11","inv11c",true,false,24,14962334,1061555971,1076601867,10121143,961067635,971239137,59,40,24,24,0,0,0,0,30,0,0,5184,""
