Picked up JAVA_TOOL_OPTIONS: -Xmx8g -XX:+ExitOnOutOfMemoryError -XX:ErrorFile=/home/augustus/acgn-v215-full-20260908T190500Z/control/logs/hs_err_pid%p.log -Djava.io.tmpdir=/home/augustus/acgn-v215-full-20260908T190500Z/control/tmp
EGraphAblationStudy/typed-slotted-port-egraph: processing 66,080 files with 16 workers.
EGraphAblationStudy/typed-slotted-port-egraph: 571/66,080 complete (0.9%), 18.98 files/s, ETA 57m 32s.
EGraphAblationStudy/typed-slotted-port-egraph: 1,000/66,080 complete (1.5%), 20.54 files/s, ETA 52m 49s.
EGraphAblationStudy/typed-slotted-port-egraph: 1,642/66,080 complete (2.5%), 20.86 files/s, ETA 51m 28s.
EGraphAblationStudy/typed-slotted-port-egraph: 2,000/66,080 complete (3.0%), 22.92 files/s, ETA 46m 36s.
EGraphAblationStudy/typed-slotted-port-egraph: 3,000/66,080 complete (4.5%), 28.63 files/s, ETA 36m 43s.
EGraphAblationStudy/typed-slotted-port-egraph: 4,000/66,080 complete (6.1%), 30.96 files/s, ETA 33m 25s.
EGraphAblationStudy/typed-slotted-port-egraph: 5,000/66,080 complete (7.6%), 31.62 files/s, ETA 32m 11s.
EGraphAblationStudy/typed-slotted-port-egraph: 6,000/66,080 complete (9.1%), 34.74 files/s, ETA 28m 50s.
EGraphAblationStudy/typed-slotted-port-egraph: 7,000/66,080 complete (10.6%), 38.64 files/s, ETA 25m 29s.
EGraphAblationStudy/typed-slotted-port-egraph: 8,000/66,080 complete (12.1%), 40.41 files/s, ETA 23m 57s.
EGraphAblationStudy/typed-slotted-port-egraph: 8,735/66,080 complete (13.2%), 38.30 files/s, ETA 24m 57s.
EGraphAblationStudy/typed-slotted-port-egraph: 9,000/66,080 complete (13.6%), 36.99 files/s, ETA 25m 43s.
EGraphAblationStudy/typed-slotted-port-egraph: 9,496/66,080 complete (14.4%), 34.74 files/s, ETA 27m 09s.
EGraphAblationStudy/typed-slotted-port-egraph: 10,000/66,080 complete (15.1%), 33.15 files/s, ETA 28m 11s.
EGraphAblationStudy/typed-slotted-port-egraph: 11,000/66,080 complete (16.6%), 34.11 files/s, ETA 26m 55s.
EGraphAblationStudy/typed-slotted-port-egraph: 12,000/66,080 complete (18.2%), 34.58 files/s, ETA 26m 04s.
EGraphAblationStudy/typed-slotted-port-egraph: 12,732/66,080 complete (19.3%), 33.77 files/s, ETA 26m 20s.
EGraphAblationStudy/typed-slotted-port-egraph: 13,000/66,080 complete (19.7%), 33.40 files/s, ETA 26m 29s.
EGraphAblationStudy/typed-slotted-port-egraph: 13,516/66,080 complete (20.5%), 32.24 files/s, ETA 27m 10s.
EGraphAblationStudy/typed-slotted-port-egraph: 13,853/66,080 complete (21.0%), 30.84 files/s, ETA 28m 13s.
EGraphAblationStudy/typed-slotted-port-egraph: 14,000/66,080 complete (21.2%), 30.09 files/s, ETA 28m 51s.
EGraphAblationStudy/typed-slotted-port-egraph: 14,386/66,080 complete (21.8%), 29.04 files/s, ETA 29m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 14,735/66,080 complete (22.3%), 28.05 files/s, ETA 30m 31s.
EGraphAblationStudy/typed-slotted-port-egraph: 15,000/66,080 complete (22.7%), 27.04 files/s, ETA 31m 29s.
EGraphAblationStudy/typed-slotted-port-egraph: 15,368/66,080 complete (23.3%), 26.28 files/s, ETA 32m 09s.
EGraphAblationStudy/typed-slotted-port-egraph: 15,728/66,080 complete (23.8%), 25.58 files/s, ETA 32m 49s.
EGraphAblationStudy/typed-slotted-port-egraph: 16,000/66,080 complete (24.2%), 25.11 files/s, ETA 33m 15s.
EGraphAblationStudy/typed-slotted-port-egraph: 16,343/66,080 complete (24.7%), 24.49 files/s, ETA 33m 51s.
EGraphAblationStudy/typed-slotted-port-egraph: 16,578/66,080 complete (25.1%), 23.77 files/s, ETA 34m 43s.
EGraphAblationStudy/typed-slotted-port-egraph: 16,868/66,080 complete (25.5%), 23.19 files/s, ETA 35m 22s.
EGraphAblationStudy/typed-slotted-port-egraph: 17,000/66,080 complete (25.7%), 22.93 files/s, ETA 35m 40s.
EGraphAblationStudy/typed-slotted-port-egraph: 17,236/66,080 complete (26.1%), 22.35 files/s, ETA 36m 26s.
EGraphAblationStudy/typed-slotted-port-egraph: 18,000/66,080 complete (27.2%), 22.95 files/s, ETA 34m 55s.
EGraphAblationStudy/typed-slotted-port-egraph: 19,000/66,080 complete (28.8%), 23.73 files/s, ETA 33m 04s.
EGraphAblationStudy/typed-slotted-port-egraph: 19,942/66,080 complete (30.2%), 24.01 files/s, ETA 32m 02s.
EGraphAblationStudy/typed-slotted-port-egraph: 20,000/66,080 complete (30.3%), 23.96 files/s, ETA 32m 03s.
EGraphAblationStudy/typed-slotted-port-egraph: 20,525/66,080 complete (31.1%), 23.74 files/s, ETA 31m 59s.
EGraphAblationStudy/typed-slotted-port-egraph: 21,000/66,080 complete (31.8%), 23.67 files/s, ETA 31m 44s.
EGraphAblationStudy/typed-slotted-port-egraph: 21,622/66,080 complete (32.7%), 23.58 files/s, ETA 31m 26s.
EGraphAblationStudy/typed-slotted-port-egraph: 22,000/66,080 complete (33.3%), 23.58 files/s, ETA 31m 09s.
